,Cities,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
415,klyuchi,52.27,79.17,22.94,40,31,7.58,RU,1589609023
416,bolonchen,,,,,,,,
417,sterling,39.01,-77.43,22.78,60,75,4.1,US,1589608768
418,palmerston,-12.49,130.98,33.33,46,34,3.6,AU,1589609024
419,hanyang,32.14,105.51,33.33,27,100,4.27,CN,1589609024
420,ciudad valles,21.98,-99.02,27.45,84,18,1.72,MX,1589609024
421,parabel,58.7,81.48,14.79,89,65,5.46,RU,1589609024
422,ponta do sol,32.67,-17.1,17,45,75,3.6,PT,1589609025
423,meyungs,,,,,,,,
424,sola,-13.88,167.55,26.9,82,76,8.62,VU,1589609025
425,barra do bugres,-15.07,-57.18,19.39,88,84,1.14,BR,1589609026
426,kisangani,0.52,25.2,24.49,84,99,0.91,CD,1589609026
427,aklavik,68.22,-135.01,-4,85,90,3.6,CA,1589609026
428,tanout,14.97,8.89,28.14,50,13,4.94,NE,1589609026
429,cheyenne,41.14,-104.82,8,75,40,4.1,US,1589609026
430,seaside,36.61,-121.85,13.89,78,79,0.45,US,1589608729
431,mayskiy,47.69,40.1,14,62,40,6,RU,1589609027
432,todos santos,23.45,-110.22,16.11,87,0,0.89,MX,1589609027
433,baric,44.65,20.26,12,71,75,4.1,RS,1589609028
434,whitehorse,60.72,-135.05,8,93,75,0.08,CA,1589609015
435,hongjiang,27.11,110,31.83,61,96,0.72,CN,1589609028
436,taoudenni,22.68,-3.98,24.61,19,0,4.75,ML,1589609028
437,bemidji,47.47,-94.88,6.67,86,1,1.5,US,1589609028
438,karauzyak,,,,,,,,
439,kavaratti,10.57,72.64,27,83,90,5.1,IN,1589609029
440,grand forks,47.93,-97.03,12,75,1,2.42,US,1589609029
441,kuusamo,65.97,29.18,2,64,78,3.6,FI,1589609029
442,millau,44.08,2.92,13.33,93,70,0.5,FR,1589609030
443,lakatoro,-16.1,167.42,26,78,90,0.5,VU,1589609030
444,isangel,-19.55,169.27,23.59,70,100,3.79,VU,1589609030
445,puerto narino,-3.77,-70.38,22.77,99,91,1.19,CO,1589609030
446,rio verde de mato grosso,-18.92,-54.84,17.28,85,99,2.2,BR,1589609031
447,saint-gilles,43.68,4.43,14,71,62,4.1,FR,1589609031
448,port said,31.26,32.28,25,73,19,5.1,EG,1589609031
449,vite,17.28,74.55,28.7,45,85,2.84,IN,1589609031
450,aksarayskiy,46.79,48.01,18,68,55,5,RU,1589609031
451,baraya,3.15,-75.05,22.38,62,11,2.11,CO,1589609032
452,laje,-10.18,-40.97,19.15,93,5,2.23,BR,1589609032
453,gunnedah,-30.98,150.25,20,45,20,6.2,AU,1589609032
454,iskateley,67.68,53.15,6.62,59,0,2.41,RU,1589609032
455,aflu,,,,,,,,
456,isilkul,54.91,71.27,20.3,36,9,4.04,RU,1589609033
457,severomuysk,56.15,113.43,0.28,98,100,1.99,RU,1589609033
458,karaul,,,,,,,,
459,roald,62.58,6.13,1.11,100,90,10.3,NO,1589609034
460,rabat,33.99,-6.84,15,100,40,3.6,MA,1589608900
461,halifax,44.65,-63.57,6.67,69,100,5.29,CA,1589608759
462,nuuk,64.18,-51.72,0,83,32,3.6,GL,1589608879
463,mulege,26.88,-111.98,22.26,58,0,1.08,MX,1589609035
464,ohara,35.25,140.38,18,93,75,5.1,JP,1589609035
465,princeton,25.54,-80.41,23.33,94,75,3.1,US,1589609035
466,ucluelet,48.93,-125.55,12.07,69,100,3.98,CA,1589608985
467,urusha,54.05,122.9,13.88,40,86,4.12,RU,1589609036
468,ayan,56.45,138.17,4.23,73,7,0.88,RU,1589609036
469,itacarambi,-15.1,-44.09,20.89,87,72,0.92,BR,1589609036
470,amazar,53.86,120.88,18.23,38,95,6.79,RU,1589609036
471,sangar,63.92,127.47,16.56,39,0,1.58,RU,1589609037
472,bathsheba,13.22,-59.52,27,74,75,8.2,BB,1589609037
473,sao filipe,14.9,-24.5,21.99,79,4,4.56,CV,1589609037
474,finschhafen,-6.6,147.87,27.96,76,84,3.63,PG,1589609037
475,santiago,-33.46,-70.65,12,54,0,1.5,CL,1589608800
476,podor,16.65,-14.96,25.59,25,0,4.93,MR,1589609038
477,piacabucu,-10.41,-36.43,24.32,85,12,2.83,BR,1589609038
478,charlestown,-32.95,151.67,20,66,61,3.96,AU,1589609038
479,cockburn town,21.46,-71.14,26.69,80,21,11.06,TC,1589609038
480,la baule-escoublac,47.29,-2.36,6.67,87,0,3.1,FR,1589609038
481,severo-yeniseyskiy,60.37,93.04,10.16,48,93,4.52,RU,1589609039
482,patawag,8.11,122.62,31.33,63,98,0.36,PH,1589609039
483,flinders,-34.58,150.86,20,64,53,1.34,AU,1589609039
484,upernavik,72.79,-56.15,-0.99,98,100,5.73,GL,1589609039
485,zhongshu,24.52,103.77,25.99,39,27,3.52,CN,1589609040
486,olavarria,-36.89,-60.32,15.56,66,4,1.34,AR,1589609040
487,barcelona,41.39,2.16,17.78,82,20,5.1,ES,1589608769
488,kaeo,-35.1,173.78,15.56,3,69,2.24,NZ,1589609041
489,sistranda,63.73,8.83,2,96,75,10.3,NO,1589609041
490,spearfish,44.49,-103.86,7.22,100,40,2.1,US,1589609041
491,sept-iles,50.2,-66.38,4,80,75,2.1,CA,1589609013
492,vao,-22.67,167.48,22.3,74,68,7.57,NC,1589609041
493,sacramento,38.47,-121.32,17.22,55,5,4.1,US,1589608746
494,iwanai,42.97,140.51,17.3,60,99,1.57,JP,1589609042
495,kachiry,53.07,76.1,21.82,40,27,7.58,KZ,1589609042
496,masterton,-40.96,175.66,12.22,75,92,1.32,NZ,1589608981
497,vilhena,-12.74,-60.15,18.6,99,82,1.62,BR,1589609042
498,gbadolite,4.28,21.02,25.39,76,6,0.58,CD,1589609043
499,kracheh,,,,,,,,
500,ostrovnoy,68.05,39.51,1.02,92,100,3.01,RU,1589609043
501,caconda,-13.73,15.07,11.33,54,5,2.2,AO,1589609043
502,kamenskoye,,,,,,,,
503,the valley,18.22,-63.06,27,74,20,6.2,AI,1589609044
504,salalah,17.02,54.09,31,70,40,2.1,OM,1589608935
505,vaitape,-16.52,-151.75,28.61,73,9,3.24,PF,1589609044
506,rio grande,-32.03,-52.1,13.28,68,23,5.89,BR,1589609044
507,williston,48.15,-103.62,12.78,66,14,1.31,US,1589609045
508,agadez,19.75,10.25,28.39,12,0,2.28,NE,1589609045
509,puerto cabezas,14.04,-83.39,25.92,86,78,2.82,NI,1589609045
510,adrar,20.5,-10.07,21.89,22,0,5.08,MR,1589609045
511,aksu,41.12,80.26,28.91,14,100,2.41,CN,1589609045
512,witu,-2.39,40.44,27.52,73,36,6.34,KE,1589609046
513,caravelas,-17.71,-39.25,22.74,93,100,2.12,BR,1589609046
514,muros,42.78,-9.06,11.11,72,0,4.02,ES,1589609046
515,visnes,59.36,5.22,6,70,98,11.3,NO,1589609046
516,houma,29.6,-90.72,24,94,90,3.6,US,1589609047
517,liberty,31.83,-81.5,18.33,93,1,1.32,US,1589609047
518,bertestii de jos,44.83,27.75,18,77,40,6.2,RO,1589609047
519,santiago del estero,-27.8,-64.26,14.38,63,0,2.47,AR,1589609047
520,burica,,,,,,,,
521,morondava,-20.28,44.28,22.46,64,0,3.56,MG,1589609048
522,santa luzia,-19.77,-43.85,18,93,75,2.6,BR,1589609048
523,catia la mar,10.6,-67.03,22.78,64,8,0.5,VE,1589609048
524,bouca,6.51,18.27,25.04,73,98,2.77,CF,1589609048
525,alice springs,-23.7,133.88,22,26,0,3.6,AU,1589609049
526,turinsk,58.05,63.7,12.78,55,76,2.24,RU,1589609049
527,chapais,49.78,-74.85,4,80,90,1,CA,1589608960
528,plettenberg bay,-34.05,23.37,13.05,75,46,2.6,ZA,1589609049
529,lokosovo,61.13,74.82,10.18,69,100,5.95,RU,1589609050
530,berdsk,54.76,83.1,18,68,90,9,RU,1589609050
531,kerki,,,,,,,,
532,chabahar,25.29,60.64,29.89,64,28,3.01,IR,1589609050
533,buariki,,,,,,,,
534,zonguldak,41.25,31.83,23.68,53,73,2.89,TR,1589609051
535,kashmor,28.43,69.58,39.07,8,18,5.48,PK,1589609051
536,bo rai,12.57,102.54,31,79,40,2.6,TH,1589609051
537,yarim,14.3,44.38,19.81,37,0,2.22,YE,1589608865
538,high level,58.52,-117.14,6,38,1,1.02,CA,1589609052
539,bolungarvik,,,,,,,,
540,atotonilco el grande,20.28,-98.67,18.26,60,42,1.8,MX,1589608831
541,hokitika,-42.72,170.97,11.74,80,0,1.99,NZ,1589608762
542,khani,41.96,42.96,23,46,15,5.7,GE,1589609053
543,yining,29.04,114.56,31.35,53,83,1.51,CN,1589609053
544,doctor arroyo,23.67,-100.18,20.51,64,0,3.38,MX,1589609053
545,aleksandrov,56.4,38.71,9.17,59,38,3.95,RU,1589609054
546,maneadero,31.72,-116.57,17.78,87,25,1.79,MX,1589609054
547,yarada,17.65,83.27,34,59,20,1,IN,1589609054
548,nchelenge,-9.35,28.73,20.32,67,0,2.26,ZM,1589609054
549,sinnamary,5.38,-52.95,24.4,90,97,2.83,GF,1589609055
550,nyurba,63.28,118.33,18.02,35,76,0.97,RU,1589609055
551,bhawana,31.57,72.65,36.65,20,0,1.27,PK,1589609055
552,ormond beach,29.29,-81.06,23.33,100,90,5.1,US,1589609044
553,dubbo,-32.25,148.62,18,55,42,4.1,AU,1589609056
554,marawi,8,124.29,29.44,83,92,2.24,PH,1589609056
555,guanhaes,-18.77,-42.93,17.19,97,100,2.46,BR,1589609057
556,limpapa,7.12,121.91,30,74,75,5.1,PH,1589609057
557,pailon,-17.65,-62.75,14,87,79,1,BO,1589609057
558,hobyo,5.35,48.53,30.27,65,6,9.76,SO,1589609057
559,chimore,-16.98,-65.13,17.97,81,71,0.94,BO,1589609058
560,sapa,5.15,120.32,30.67,68,59,3.34,PH,1589609058
561,najran,17.49,44.13,30,20,40,4.37,SA,1589609058
562,broome,42.25,-75.83,13.89,100,90,4.6,US,1589609058
563,san fernando,15.03,120.69,29,83,90,2.1,PH,1589609059
564,nome,64.5,-165.41,13,35,40,3.1,US,1589609059
565,noumea,-22.28,166.46,24,64,40,1,NC,1589609302
566,berea,41.37,-81.85,15,100,90,2.1,US,1589608853
567,el viejo,12.66,-87.17,26.97,82,71,0.89,NI,1589609060
568,qabis,,,,,,,,
569,develi,38.39,35.49,18,63,0,1.57,TR,1589609060
570,yulara,-25.24,130.99,20,20,0,3.6,AU,1589609060
571,talara,-4.58,-81.27,22.07,79,83,5.41,PE,1589609061
572,kinablangan,7.69,126.55,30.06,68,95,3.07,PH,1589609061
573,yermakovskoye,53.28,92.4,19.48,43,100,2.58,RU,1589609061
574,teseney,15.11,36.66,30.71,39,54,3.94,ER,1589609061
575,fallon,39.47,-118.78,14,30,1,4.4,US,1589609062
576,almaznyy,48.04,40.05,14,62,40,6,RU,1589609062
577,hunza,,,,,,,,
578,bend,44.06,-121.32,11,53,1,2.6,US,1589608878
579,sarahan,31.52,77.8,20.52,29,0,2.92,IN,1589609063
580,rafai,4.95,23.92,24.6,79,2,1.51,CF,1589609063
581,vorozhba,51.17,34.22,10.78,73,91,2.16,UA,1589609063
582,prattville,32.46,-86.46,21,93,1,2.28,US,1589609063
583,ixtapa,20.7,-105.2,19.94,41,6,1.17,MX,1589609064
584,yumen,40.28,97.2,27.22,14,0,2.34,CN,1589609064
585,rungata,,,,,,,,
586,marsabit,2.33,37.99,19.71,83,48,7.29,KE,1589609064
587,vetluzhskiy,58.39,45.47,9.24,51,4,3.57,RU,1589609064
588,brae,60.4,-1.35,6,60,75,10.8,GB,1589609065
589,praia da vitoria,38.73,-27.07,18,93,75,4.04,PT,1589609065
590,prudentopolis,-25.21,-50.98,10.24,99,28,0.56,BR,1589608901
591,zhezkazgan,47.8,67.71,23,40,75,4,KZ,1589609066
592,penzance,50.12,-5.54,9.44,87,82,3.1,GB,1589609066
593,northam,51.03,-4.22,7.78,93,97,0.89,GB,1589609066
594,kapchorwa,1.4,34.45,18.44,83,55,1.33,UG,1589609066
